NAME;STUSAB;INTPTLAT;INTPTLON
Hill;TX;31.9826809;-97.130668
Cheyenne;NE;41.2142358;-103.0119289
Harvey;KS;38.0501436;-97.4367065
Camuy;PR;18.4454691;-66.863134
Mathews;VA;37.4253479;-76.2688078
Onondaga;NY;43.0065163;-76.1961336
Carbon;UT;39.673284;-110.5884845
Centre;PA;40.9091275;-77.8478769
Nicholas;WV;38.2914318;-80.7975148
Shelby;IN;39.5241345;-85.7921742
West Carroll;LA;32.7924797;-91.4519982
Brooke;WV;40.2726454;-80.578691
Putnam;MO;40.4786055;-93.0145314
Marion;IN;39.7829759;-86.1357939
Guayanilla;PR;18.0053378;-66.7982933
Ward;TX;31.5130687;-103.1051127
Caribou;ID;42.7860724;-111.5442734
Bradley;AR;33.4665491;-92.1691559
Boundary;ID;48.7731313;-116.5246676
Charles Mix;SD;43.2061853;-98.5951429
Upshur;TX;32.7353495;-94.9411837
Haskell;OK;35.2322953;-95.1095765
Rockingham;VA;38.5075848;-78.8853213
Ashe;NC;36.4434687;-81.4993343
Spotsylvania;VA;38.1824314;-77.6572264
Sublette;WY;42.7679284;-109.9161701
Webb;TX;27.7607987;-99.3407518
Transylvania;NC;35.2101025;-82.816666
Cameron;TX;26.1029227;-97.4789584
Dare;NC;35.6062688;-75.7675364
Hillsborough;FL;27.9066072;-82.3497186
Cherry;NE;42.571323;-101.0476532
Mecklenburg;VA;36.6872563;-78.3689592
Nuckolls;NE;40.1764918;-98.0468422
Allen;OH;40.7716274;-84.1061032
Lake;OH;41.9241163;-81.3926429
Barton;MO;37.5007989;-94.3440893
Leelanau;MI;45.1461816;-86.051574
Sedgwick;CO;40.8715679;-102.3553579
Holt;NE;42.4592867;-98.7847662
Pickens;GA;34.4567464;-84.4903508
Kemper;MS;32.7501361;-88.6256306
Jersey;IL;39.0801945;-90.361385
Orange;FL;28.5143906;-81.3232839
Grayson;TX;33.624524;-96.675693
Crosby;TX;33.609144;-101.2987099
Yabucoa;PR;18.0598584;-65.8598713
Alfalfa;OK;36.7297032;-98.3234449
Perry;KY;37.2412822;-83.2177723
Madison;IA;41.3306216;-94.0151842
Angelina;TX;31.2518963;-94.6111337
Bureau;IL;41.4013043;-89.5283772
Tippecanoe;IN;40.3891334;-86.8935538
Clinton;MI;42.950455;-84.5916949
Santa Isabel;PR;17.9529217;-66.3875885
Northampton;NC;36.4217739;-77.3983518
Lawrence;SD;44.348767;-103.8049474
Jefferson;CO;39.5795106;-105.245462
Cowley;KS;37.2345068;-96.8372468
Craig;VA;37.4736031;-80.2310507
Worcester;MA;42.3116934;-71.940282
Kings;CA;36.072478;-119.8155301
Marion;KS;38.3596474;-97.1027707
Union;GA;34.833333;-83.9892568
Jefferson Davis;LA;30.2695293;-92.8162205
Eagle;CO;39.6269919;-106.6951694
Stone;MO;36.751004;-93.4737009
Nez Perce;ID;46.3337914;-116.7609091
Fayette;GA;33.4127172;-84.4939407
Wrangell;AK;56.317416;-132.343978
Allen;KS;37.8842285;-95.3009448
Shelby;IA;41.6790143;-95.3089173
