zip,zip,population,gay tax rate,overall tax paid,income
8033,8033,16590.0,3790,182.0,1
8034,8034,18060.0,3980,256.0,1
8035,8035,7080.0,1650,80.0,1
8036,8036,6060.0,1420,46.0,1
8043,8043,27120.0,6010,369.0,1
8045,8045,2490.0,280,54.0,1
8046,8046,28710.0,3880,314.0,1
8048,8048,11960.0,2360,119.0,1
8049,8049,4740.0,870,42.0,1
8051,8051,9800.0,1870,106.0,1
8052,8052,17790.0,3000,210.0,1
8053,8053,44200.0,9770,508.0,1
8054,8054,41090.0,8660,410.0,1
8056,8056,5170.0,1300,28.0,1
8057,8057,20280.0,4620,218.0,1
8059,8059,5260.0,1010,46.0,1
8060,8060,22470.0,4280,245.0,1
8061,8061,3210.0,700,0.0,1
8062,8062,16600.0,3830,161.0,1
8063,8063,2700.0,530,0.0,1
8065,8065,6530.0,1110,96.0,1
8066,8066,6710.0,800,48.0,1
8071,8071,8640.0,1820,91.0,1
8075,8075,26860.0,5390,475.0,1
8077,8077,18550.0,4260,206.0,1
8078,8078,7280.0,1320,69.0,1
8080,8080,35720.0,8050,355.0,1
8081,8081,46130.0,7990,372.0,1
8083,8083,9060.0,1790,93.0,1
8084,8084,6440.0,1260,67.0,1
8085,8085,20060.0,4340,141.0,1
8086,8086,7670.0,1580,58.0,1
8090,8090,7890.0,1680,84.0,1
8093,8093,8590.0,1360,89.0,1
8096,8096,32120.0,6160,308.0,1
8097,8097,3090.0,670,31.0,1
8102,8102,5340.0,0,37.0,1
8103,8103,9230.0,380,62.0,1
8104,8104,18570.0,670,133.0,1
8105,8105,26240.0,1320,234.0,1
8106,8106,9040.0,1790,75.0,1
8107,8107,12200.0,1890,158.0,1
8108,8108,16490.0,3420,255.0,1
8109,8109,20500.0,3460,255.0,1
8110,8110,18210.0,1970,236.0,1
8505,8505,17280.0,3640,188.0,1
8518,8518,5240.0,1040,59.0,1
8554,8554,3530.0,650,26.0,1
8816,8816,47000.0,10870,650.0,1
8817,8817,45040.0,9750,555.0,1
8820,8820,40400.0,10110,444.0,1
8830,8830,19260.0,4420,277.0,1
8832,8832,2990.0,350,66.0,1
8837,8837,15740.0,3360,175.0,1
8840,8840,16690.0,3700,201.0,1
8850,8850,8050.0,1880,89.0,1
8854,8854,49760.0,10280,550.0,1
8857,8857,37880.0,8130,435.0,1
8859,8859,23160.0,4650,341.0,1
8861,8861,52530.0,5610,1033.0,1
8863,8863,12030.0,2330,150.0,1
8872,8872,19240.0,3680,264.0,1
8879,8879,19970.0,3770,274.0,1
8882,8882,14720.0,2870,314.0,1
8884,8884,7500.0,1660,60.0,1
8901,8901,40370.0,3310,558.0,1
8902,8902,40860.0,7580,453.0,1
8904,8904,12430.0,2390,194.0,1
10001,10001,19710.0,2540,766.0,1
10002,10002,71450.0,10860,3503.0,1
10003,10003,39470.0,5550,1569.0,1
10004,10004,4380.0,830,104.0,1
10005,10005,8600.0,1370,265.0,1
10006,10006,3390.0,490,87.0,1
10007,10007,5910.0,1210,108.0,1
10009,10009,46940.0,5090,1699.0,1
10010,10010,24020.0,3630,508.0,1
10011,10011,40950.0,5790,1424.0,1
10012,10012,17250.0,2520,708.0,1
10013,10013,24680.0,4570,935.0,1
10014,10014,25220.0,3510,897.0,1
10016,10016,42940.0,5970,1002.0,1
10017,10017,17990.0,3110,424.0,1
10018,10018,8840.0,1190,338.0,1
10019,10019,34280.0,4910,1202.0,1
10021,10021,36490.0,6870,866.0,1
10022,10022,29800.0,5560,642.0,1
10023,10023,52150.0,9570,1316.0,1
10024,10024,50420.0,9760,1337.0,1
10025,10025,73730.0,11670,2143.0,1
10026,10026,30440.0,2680,968.0,1
10027,10027,45080.0,4090,1369.0,1
10028,10028,39430.0,7250,1030.0,1
10029,10029,60970.0,5000,1832.0,1
10030,10030,23010.0,1280,611.0,1
10031,10031,47370.0,3520,1869.0,1
10032,10032,48530.0,3780,1858.0,1
10033,10033,45600.0,4600,1674.0,1
10034,10034,34740.0,3390,1161.0,1
10035,10035,26650.0,1910,715.0,1
10036,10036,25310.0,3270,976.0,1
10037,10037,16880.0,950,381.0,1
10038,10038,18310.0,2700,540.0,1
10039,10039,23320.0,1290,561.0,1
10040,10040,36340.0,3580,1286.0,1
10044,10044,7080.0,1270,171.0,1
10065,10065,24130.0,4470,593.0,1
10069,10069,5260.0,1200,145.0,1
10075,10075,22000.0,4080,477.0,1
10128,10128,51720.0,9290,1177.0,1
10162,10162,1450.0,320,55.0,1
10280,10280,7410.0,1450,131.0,1
10282,10282,4910.0,1140,27.0,1
10301,10301,33260.0,4690,674.0,1
10302,10302,16100.0,2220,416.0,1
10303,10303,24020.0,2720,461.0,1
10304,10304,38250.0,5330,601.0,1
10305,10305,36980.0,6890,803.0,1
10306,10306,50460.0,10240,775.0,1
10307,10307,12940.0,2630,202.0,1
10308,10308,25790.0,5560,285.0,1
10309,10309,29770.0,6310,369.0,1
10310,10310,22810.0,3430,336.0,1
10312,10312,56670.0,12330,655.0,1
10314,10314,79230.0,15870,1276.0,1
10451,10451,43240.0,2500,889.0,1
10452,10452,70360.0,4260,1795.0,1
10453,10453,73190.0,4090,1729.0,1
10454,10454,31880.0,1700,636.0,1
10455,10455,35240.0,2000,714.0,1
10456,10456,80050.0,4240,1567.0,1
10457,10457,64740.0,3600,1289.0,1
10458,10458,66470.0,4640,1779.0,1
10459,10459,41540.0,2400,830.0,1
10460,10460,47890.0,2650,953.0,1
10461,10461,44170.0,6100,1239.0,1
10462,10462,74080.0,7950,2039.0,1
10463,10463,60050.0,7640,1308.0,1
10464,10464,3600.0,670,69.0,1
10465,10465,35480.0,4980,459.0,1
10466,10466,59280.0,4470,1203.0,1
10467,10467,84310.0,6950,1988.0,1
10468,10468,67780.0,4690,1818.0,1
10469,10469,58670.0,5590,1180.0,1
10470,10470,13220.0,1570,285.0,1
10471,10471,17200.0,3010,350.0,1
10472,10472,57010.0,4930,1598.0,1
10473,10473,50920.0,3570,771.0,1
10474,10474,10040.0,550,194.0,1
10475,10475,35830.0,3040,446.0,1
10502,10502,5930.0,1390,65.0,1
10522,10522,10050.0,2140,131.0,1
10523,10523,8840.0,1430,213.0,1
10528,10528,11150.0,2370,261.0,1
10530,10530,12220.0,2620,175.0,1
10533,10533,7680.0,1780,103.0,1
10538,10538,17200.0,4020,293.0,1
10543,10543,18930.0,3790,457.0,1
10550,10550,34680.0,2580,779.0,1
10552,10552,18520.0,2730,470.0,1
10553,10553,10070.0,850,176.0,1
10573,10573,37040.0,6530,1178.0,1
10577,10577,3010.0,710,52.0,1
10580,10580,17240.0,3900,368.0,1
10583,10583,39860.0,9470,790.0,1
10591,10591,21760.0,3890,496.0,1
10601,10601,10060.0,1470,203.0,1
10603,10603,17800.0,2890,371.0,1
10604,10604,10700.0,2020,261.0,1
10605,10605,18970.0,3990,361.0,1
10606,10606,15720.0,2410,460.0,1
10607,10607,7460.0,1410,116.0,1
10701,10701,54000.0,5830,1119.0,1
10703,10703,19550.0,2750,325.0,1
10704,10704,29920.0,4830,601.0,1
10705,10705,35390.0,4090,710.0,1
10706,10706,8890.0,2010,164.0,1
10707,10707,9500.0,1900,119.0,1
10708,10708,20500.0,4200,319.0,1
10709,10709,9390.0,2070,112.0,1
10710,10710,25270.0,4650,330.0,1
10801,10801,35920.0,5500,795.0,1
10803,10803,12870.0,2740,194.0,1
10804,10804,14510.0,3540,212.0,1
10805,10805,16270.0,2480,428.0,1
10913,10913,5150.0,1170,51.0,1
10960,10960,13450.0,2340,321.0,1
10962,10962,4990.0,1070,73.0,1
10964,10964,1420.0,340,31.0,1
10965,10965,14920.0,3270,137.0,1
10968,10968,2130.0,410,40.0,1
10976,10976,1410.0,0,30.0,1
10983,10983,5820.0,1330,62.0,1
11001,11001,26970.0,5780,394.0,1
11003,11003,44160.0,5760,853.0,1
11004,11004,12390.0,2630,348.0,1
11005,11005,1830.0,390,15.0,1
11010,11010,23400.0,4870,370.0,1
11020,11020,6230.0,1400,150.0,1
11021,11021,17310.0,3730,449.0,1
11023,11023,8930.0,2010,193.0,1
11024,11024,6710.0,1470,197.0,1
11030,11030,18210.0,4430,345.0,1
11040,11040,42610.0,9760,644.0,1
11050,11050,29680.0,6580,676.0,1
11096,11096,7670.0,940,215.0,1
11101,11101,28280.0,4080,1178.0,1
11102,11102,31820.0,4390,1653.0,1
11103,11103,33520.0,5070,1930.0,1
11104,11104,25670.0,4400,1608.0,1
11105,11105,32260.0,5510,1462.0,1
11106,11106,35830.0,5190,1860.0,1
11109,11109,5600.0,1140,118.0,1
11201,11201,49500.0,8850,1183.0,1
11203,11203,64970.0,5240,1340.0,1
11204,11204,76700.0,14670,2287.0,1
11205,11205,38330.0,4580,998.0,1
11206,11206,70670.0,6410,1927.0,1
11207,11207,78830.0,4860,1538.0,1
11208,11208,85530.0,7220,1945.0,1
11209,11209,62070.0,10950,2067.0,1
11210,11210,58560.0,6910,1221.0,1
11211,11211,54880.0,7150,2063.0,1
11212,11212,71850.0,3830,1064.0,1
11213,11213,54280.0,4510,1250.0,1
11214,11214,80680.0,15240,3026.0,1
11215,11215,57840.0,10850,1728.0,1
11216,11216,43790.0,3000,1769.0,1
11217,11217,29350.0,4260,897.0,1
11218,11218,71050.0,11890,2926.0,1
11219,11219,94890.0,17670,2694.0,1
11220,11220,111430.0,19530,5966.0,1
11221,11221,63630.0,4310,2122.0,1
11222,11222,32690.0,4910,2191.0,1
11223,11223,67530.0,12450,2479.0,1
11224,11224,36070.0,4550,1024.0,1
11225,11225,50680.0,4270,1558.0,1
11226,11226,89750.0,6950,2693.0,1
11228,11228,38150.0,7800,1006.0,1
11229,11229,71470.0,13520,2232.0,1
11230,11230,77620.0,13430,2983.0,1
11231,11231,30180.0,4950,734.0,1
11232,11232,25010.0,3520,1211.0,1
11233,11233,54720.0,3110,1080.0,1
11234,11234,79070.0,11360,1485.0,1
11235,11235,69930.0,12700,3305.0,1
11236,11236,84350.0,6860,1467.0,1
11237,11237,39670.0,3660,2180.0,1
11238,11238,45910.0,5310,1505.0,1
11239,11239,11980.0,680,147.0,1
11354,11354,52240.0,10350,4648.0,1
11355,11355,90920.0,18130,9166.0,1
11356,11356,24010.0,4200,1088.0,1
11357,11357,37080.0,8190,886.0,1
11358,11358,35170.0,7410,1484.0,1
11360,11360,17360.0,3740,363.0,1
11361,11361,25800.0,5360,791.0,1
11362,11362,16430.0,3690,365.0,1
11363,11363,6400.0,1460,169.0,1
11364,11364,33810.0,7340,856.0,1
11365,11365,40550.0,7820,1352.0,1
11366,11366,13390.0,2840,452.0,1
11367,11367,38200.0,7010,1367.0,1
11368,11368,100270.0,12150,6007.0,1
11369,11369,34610.0,4490,1718.0,1
11370,11370,25770.0,4540,1431.0,1
11372,11372,65030.0,10070,4321.0,1
11373,11373,97860.0,16330,6516.0,1
11374,11374,40580.0,7360,1716.0,1
11375,11375,63430.0,12630,1697.0,1
11377,11377,84100.0,13960,5615.0,1
11378,11378,33470.0,6140,1313.0,1
11379,11379,32860.0,6680,839.0,1
11385,11385,90970.0,14000,3955.0,1
11411,11411,17930.0,1790,328.0,1
11412,11412,32970.0,2670,586.0,1
11413,11413,37120.0,3250,673.0,1
11414,11414,23540.0,4340,364.0,1
11415,11415,17130.0,2940,649.0,1
11416,11416,24480.0,3420,892.0,1
11417,11417,28750.0,4470,803.0,1
11418,11418,34440.0,5060,1594.0,1
11419,11419,44380.0,6830,2771.0,1
11420,11420,43510.0,6150,1772.0,1
11421,11421,38570.0,5510,1315.0,1
11422,11422,28400.0,2620,572.0,1
11423,11423,28290.0,3990,734.0,1
11426,11426,17860.0,3680,662.0,1
11427,11427,22080.0,3940,620.0,1
11428,11428,18820.0,3080,533.0,1
11429,11429,22950.0,2280,418.0,1
11430,11430,230.0,0,0.0,1
11432,11432,56310.0,9310,2519.0,1
11433,11433,30750.0,2730,657.0,1
11434,11434,55670.0,4220,938.0,1
11435,11435,49620.0,6990,1852.0,1
11436,11436,17450.0,1740,419.0,1
11501,11501,19150.0,3910,367.0,1
11507,11507,7610.0,1770,117.0,1
11509,11509,2290.0,520,58.0,1
11510,11510,32870.0,5470,475.0,1
11514,11514,4590.0,990,78.0,1
11516,11516,7990.0,1550,146.0,1
11518,11518,10240.0,2170,102.0,1
11520,11520,42530.0,5260,1031.0,1
11530,11530,28860.0,6720,347.0,1
11542,11542,23880.0,4370,625.0,1
11545,11545,11620.0,2790,247.0,1
11548,11548,1270.0,270,38.0,1
11550,11550,52300.0,4630,1207.0,1
11552,11552,24880.0,4450,398.0,1
11553,11553,25970.0,2690,582.0,1
11554,11554,37020.0,8160,446.0,1
11557,11557,8080.0,1800,151.0,1
11558,11558,7560.0,1470,130.0,1
11559,11559,8450.0,1690,175.0,1
11560,11560,6320.0,1360,119.0,1
11561,11561,31560.0,5620,636.0,1
11563,11563,21470.0,4380,239.0,1
11565,11565,8900.0,2040,88.0,1
11566,11566,35900.0,8390,433.0,1
11568,11568,3240.0,770,90.0,1
11570,11570,27160.0,5620,324.0,1
11572,11572,30290.0,6730,382.0,1
11575,11575,16430.0,1430,458.0,1
11576,11576,12540.0,3080,298.0,1
11577,11577,12260.0,2790,242.0,1
11579,11579,4910.0,1100,100.0,1
11580,11580,41510.0,6790,812.0,1
11581,11581,21490.0,4200,374.0,1
11590,11590,46820.0,7650,836.0,1
11596,11596,10700.0,2440,129.0,1
11598,11598,14000.0,3060,248.0,1
11691,11691,46310.0,4400,761.0,1
11692,11692,16700.0,1320,217.0,1
