,name,lat,long
145,Fayette GA,33.4127172,-84.4939407
146,Wrangell AK,56.317416,-132.343978
147,Allen KS,37.8842285,-95.3009448
148,Shelby IA,41.6790143,-95.3089173
149,Cape May NJ,39.0858411,-74.8463541
150,Cheshire NH,42.9254596,-72.2481828
151,Calvert MD,38.5227191,-76.5297621
152,Sandoval NM,35.6850913,-106.8831191
153,Washington OK,36.7043803,-95.9061545
154,Maverick TX,28.7297873,-100.316678
155,Sampson NC,34.9892978,-78.3711743
156,Sullivan TN,36.5096806,-82.3013363
157,Crook WY,44.5892657,-104.5672975
158,Rush IN,39.6223785,-85.4664463
159,Saline MO,39.1358403,-93.2041639
160,Anne Arundel MD,38.9916174,-76.5608941
161,Webster WV,38.483459,-80.4490515
162,Putnam IL,41.1989613,-89.2983474
163,Cleburne AR,35.5663146,-92.0599504
164,Itasca MN,47.4908166,-93.6111022
165,Sussex DE,38.6732275,-75.3370237
166,Hancock IN,39.8225286,-85.7731503
167,Jasper MO,37.2051967,-94.3372594
168,Snohomish WA,48.070464,-121.936784
169,Mason IL,40.2369926,-89.9135746
170,Yakima WA,46.4565581,-120.7401446
171,Henderson TX,32.2116334,-95.8534183
172,LaGrange IN,41.6424623,-85.4278448
173,Peach GA,32.5713241,-83.8319779
174,Jefferson WV,39.3073985,-77.86322
175,Tarrant TX,32.7721191,-97.2912241
176,Scott MS,32.4119595,-89.5334861
177,Knox IN,38.688391,-87.4203544
178,Dawson NE,40.8673784,-99.8151537
179,Fergus MT,47.2252211,-109.2321376
180,San Benito CA,36.6116507,-121.0858108
181,Granite MT,46.3959554,-113.4273564
182,Wexford MI,44.3313751,-85.5700462
183,Smyth VA,36.8423183,-81.5397861
184,Isanti MN,45.5624313,-93.2963388
185,Van Zandt TX,32.5587866,-95.8369057
186,Ocean NJ,39.865669,-74.2588636
187,Ogle IL,42.041884,-89.3201764
188,Clay KS,39.3449643,-97.1688527
189,Caldwell MO,39.6589977,-93.9791785
190,Bell KY,36.7289281,-83.680718
191,Fresno CA,36.7610058,-119.6550193
192,Dallam TX,36.2863696,-102.5940204
193,Wood TX,32.7835881,-95.3821664
194,Shawano WI,44.7896407,-88.7558134
195,Le Sueur MN,44.3734238,-93.7301433
196,Vega Alta PR,18.4361633,-66.3366734
197,Harford MD,39.5374292,-76.2997894
198,Calumet WI,44.0784104,-88.2121322
199,Pacific WA,46.5565866,-123.7824193
200,Aleutians East AK,55.2450437,-161.9974772
201,Monroe NY,43.4644839,-77.6646584
202,Kauai HI,22.0120383,-159.7059653
203,Noxubee MS,33.1065082,-88.5660044
204,Wasco OR,45.1645359,-121.1650693
205,Wilson TN,36.149527,-86.2912423
206,Schoharie NY,42.591294,-74.4381718
207,Marion WV,39.5058387,-80.2434018
208,Douglas WI,46.4632185,-91.8924773
209,Edgecombe NC,35.9170773,-77.6027422
210,Norton VA,36.9315489,-82.625996
211,McClain OK,35.0164359,-97.4498032
212,Villalba PR,18.1307185,-66.4722435
213,Warren GA,33.4191691,-82.6880123
214,Roosevelt MT,48.2827471,-104.9951698
215,Cowlitz WA,46.1967854,-122.6784596
216,Yadkin NC,36.1587653,-80.6651641
217,Saline KS,38.7918043,-97.6514783
218,DuPage IL,41.8520577,-88.0860389
219,Fillmore NE,40.5250399,-97.5967053
220,Aleutians West AK,51.948964,179.6211882
221,Livingston KY,37.2095174,-88.3634261
222,Adams PA,39.8694707,-77.2177296
223,Utah UT,40.1204248,-111.6685082
224,Kings NY,40.6350451,-73.9506398
225,Todd KY,36.8403384,-87.1836416
226,Northampton PA,40.7527913,-75.3074468
227,Columbiana OH,40.770073,-80.778455
228,Marion FL,29.2028047,-82.0431004
229,Lake IL,42.326441,-87.435976
230,Kit Carson CO,39.3053399,-102.6030226
231,Johnson TN,36.4532029,-81.8612467
232,Carroll KY,38.6683939,-85.1240238
233,Polk TN,35.1094371,-84.5411124
234,Renville ND,48.7127815,-101.6581522
235,Tom Green TX,31.3988233,-100.4637879
236,Monroe IA,41.0288473,-92.8696415
237,Dillon SC,34.3901723,-79.3749638
238,Furnas NE,40.191865,-99.9096631
239,Dunn ND,47.3545572,-102.6123216
240,Branch MI,41.9184551,-85.0668852
241,Pendleton KY,38.6962842,-84.3519435
242,Franklin TN,35.1559259,-86.0992032
243,Grady GA,30.8759076,-84.2450803
244,Plumas CA,39.9922953,-120.8243709
245,Wasatch UT,40.3348838,-111.1615683
246,Cuyahoga OH,41.7603919,-81.7242168
247,Petroleum MT,47.1419168,-108.2265753
248,Crockett TN,35.8187949,-89.1324936
249,Sierra NM,33.1194684,-107.1881612
250,Morrill NE,41.7322039,-102.9905936
251,Chautauqua KS,37.1542592,-96.2453962
252,Randolph AL,33.2964753,-85.4640679
253,Sheridan MT,48.7055228,-104.5339129
254,York SC,34.9701875,-81.1831873
255,Washington IN,38.6006126,-86.1047512
256,Camas ID,43.5025515,-114.7721349
257,Lewis WV,38.9888773,-80.4954773
258,Payne OK,36.0792254,-96.9752553
259,Nelson KY,37.8031198,-85.4659312
260,Colonial Heights VA,37.2616846,-77.3968043
261,Franklin MA,42.5845038,-72.5917921
262,Chatham NC,35.7049939,-79.2514542
263,Kerr TX,30.059953,-99.3533388
264,Chickasaw MS,33.9332767,-88.9475579
265,Charlton GA,30.7799036,-82.1396442
266,Kootenai ID,47.6759658,-116.6959222
267,Brazos TX,30.6567132,-96.3023935
268,Franklin NC,36.0882406,-78.2830903
269,Meagher MT,46.5856996,-110.9217396
270,Henry VA,36.7814785,-79.7592313
271,Wayne MI,42.2846636,-83.2619533
272,Scioto OH,38.8148886,-82.998675
273,Clay TN,36.5457493,-85.5457173
274,Muhlenberg KY,37.2138159,-87.1340919
275,Miami-Dade FL,25.6105799,-80.4970989
276,Amherst VA,37.6293036,-79.1546672
277,Jayuya PR,18.2111522,-66.58687
278,Fayette TX,29.8778861,-96.9212309
279,Washington TX,30.2150752,-96.4102717
280,Cameron PA,41.4382909,-78.1983225
281,Clark IL,39.3323343,-87.7916832
282,Black Hawk IA,42.4711317,-92.3076003
283,Rock Island IL,41.4684205,-90.5721252
284,Carroll IN,40.5849801,-86.5651412
285,Philadelphia PA,40.0093755,-75.1333459
286,Watonwan MN,43.9781089,-94.613798
287,Elmore ID,43.3946984,-115.471205
288,Bartow GA,34.2409175,-84.8381879
289,Ozark MO,36.6495904,-92.4585492
290,Butte ID,43.685101,-113.1776308
291,Barranquitas PR,18.2000184,-66.3092822
292,Weber UT,41.2703252,-111.876883
293,Marion MO,39.8075383,-91.6353791
294,Clinton NY,44.752712,-73.7056429
295,Aiken SC,33.5500134,-81.632983
296,Newberry SC,34.2898805,-81.5996761
297,Yankton SD,43.006603,-97.3883614
298,Ponce PR,18.0017167,-66.6066625
299,Wyoming PA,41.5251726,-76.008731
300,Denali AK,63.6820386,-150.0270164
301,Taylor KY,37.3662101,-85.3280585
302,Logan WV,37.8305905,-81.940853
303,Miami KS,38.5667718,-94.8329626
304,Prince William VA,38.7011187,-77.4795791
305,Pointe Coupee LA,30.708319,-91.6046207
306,Hardin IL,37.5178517,-88.2661478
307,Erie NY,42.752759,-78.7781922
308,Estill KY,37.6924493,-83.9639825
309,Hood River OR,45.5117753,-121.6559762
310,Montgomery IA,41.0217348,-95.1577896
311,Flagler FL,29.4748909,-81.2862532
312,Pike GA,33.0812241,-84.3898475
313,Bon Homme SD,42.985799,-97.8841987
314,Orangeburg SC,33.436135,-80.8029131
315,Cochran TX,33.6084401,-102.830449
316,Jackson NC,35.2810521,-83.1199622
317,Summit UT,40.8720603,-110.9684862
318,Comanche OK,34.66263,-98.4766117
319,Modoc CA,41.5929185,-120.7183704
320,Cumberland TN,35.9523984,-84.9947614
321,Sherburne MN,45.4531762,-93.76913
322,Davison SD,43.6804393,-98.1558683
323,Pulaski GA,32.2388026,-83.4818454
324,Lyon KY,37.0239759,-88.0833909
325,Ware GA,31.050881,-82.4215072
326,Turner GA,31.7248005,-83.6203195
327,Calhoun IL,39.1642619,-90.6662949
328,Defiance OH,41.3216789,-84.4864334
329,Holmes FL,30.8620072,-85.8159385
330,Jackson MS,30.4560045,-88.6251005
331,Mohave AZ,35.717705,-113.7496891
332,Horry SC,33.9092694,-78.9766749
333,Chase NE,40.5303903,-101.6941918
334,Taney MO,36.6498267,-93.0428188
335,Montgomery GA,32.1721081,-82.5333487
336,Palo Pinto TX,32.7522042,-98.3179673
337,Beaver OK,36.7483343,-100.4830555
338,Tulare CA,36.2288339,-118.7810551
339,Rockbridge VA,37.8145174,-79.4477537
340,Lincoln TN,35.1427838,-86.5934033
341,Davidson TN,36.1691287,-86.7847898
342,Johnson WY,44.0440477,-106.5885406
343,Isabela PR,18.4838703,-67.0141381
344,Cumberland PA,40.1648047,-77.2634419
345,Chautauqua NY,42.3042159,-79.4075949
346,Wise VA,36.9745607,-82.6215601
347,Clay MS,33.65967,-88.782468
348,La Salle TX,28.3510976,-99.0967743
349,Lyon IA,43.3835796,-96.2072011
350,Lafayette AR,33.2406294,-93.611514
351,Mahnomen MN,47.3283866,-95.8110885
352,Perry MO,37.7111296,-89.8021249
353,Anderson KY,38.0053963,-84.9864171
354,Fentress TN,36.3698921,-84.9377641
355,Pickett TN,36.5593638,-85.075741
356,Wheatland MT,46.4970466,-109.8571467
357,McPherson SD,45.7842491,-99.2114212
358,Seneca OH,41.1199923,-83.1275469
359,Callahan TX,32.2931499,-99.372249
360,Muskegon MI,43.2892579,-86.751892
361,Siskiyou CA,41.5879861,-122.5332868
362,DeSoto MS,34.874266,-89.99324
363,Dunklin MO,36.3069045,-90.065394
364,Ascension LA,30.2064437,-90.9125023
365,Chesterfield VA,37.3784338,-77.5858474
366,Jackson IL,37.7860959,-89.3812119
367,Tooele UT,40.4677525,-113.1239786
368,Gulf FL,29.9072571,-85.2565366
369,Newton TX,30.7867182,-93.73925
370,Bath KY,38.1522485,-83.7376405
371,Armstrong PA,40.8123805,-79.4641285
372,Hartley TX,35.8402444,-102.6100473
373,Sedgwick KS,37.681045,-97.4610535
374,Mercer OH,40.5353325,-84.6320588
375,Cuming NE,41.9158651,-96.7885168
376,Clay AL,33.2703999,-85.8635254
377,Floyd GA,34.2636918,-85.2136851
378,Dakota NE,42.3916449,-96.5613555
379,Putnam WV,38.5105128,-81.906109
380,Macon GA,32.3626859,-84.0512306
381,Caldwell NC,35.966395,-81.5125411
382,Lane KS,38.4812863,-100.4661853
383,Durham NC,36.0338282,-78.8781246
384,Lewis and Clark MT,47.1320133,-112.3733673
385,Trousdale TN,36.3930297,-86.1566909
386,Broward FL,26.1935353,-80.4766834
