,Tax_Mjoint,TaxRate_SS,TaxRate_FF,TaxRate_MM,Cns_RateSS,Cns_RateFF,Cns_RateMM,CountBars,FF_Index,MM_Index,SS_Index,TOTINDEX,lat,long
142,2450,23.26530612,16.32653061,6.93877551,22.15447154,17.07317073,5.081300813,0,7.316954606,2.530186339,9.847140945,7.057878188,42.353585,-71.188192
143,2700,28.88888889,18.88888889,10.0,18.57323765,0.0,18.57323765,0,3.201793722,6.644288827,9.846082549,7.05711959,37.902944,-122.261795
144,1290,36.43410853,7.751937984,28.68217054,13.73342113,2.539742263,11.19367886,0,1.990772246,7.844607027,9.835379273,7.049448082,40.830867,-73.936218
145,2050,35.12195122,9.756097561,25.36585366,14.47921532,0.817375058,13.66184026,0,1.871530573,7.940161428,9.811692001,7.032470374,45.507856,-122.690794
146,800,32.5,23.75,8.75,16.14530777,11.09989909,5.045408678,0,6.983581393,2.827636875,9.811218268,7.032130829,30.289963,-97.714696
147,1240,33.06451613,8.064516129,25.0,15.65406076,3.564786113,12.08927464,0,2.316900382,7.459104287,9.776004668,7.006891696,39.964489,-75.145802
148,5140,33.46303502,13.03501946,20.42801556,15.2397764,7.296263607,7.943512798,0,4.153763133,5.579398573,9.733161706,6.976184265,33.756289,-118.130636
149,2700,32.59259259,7.037037037,25.55555556,9.509202454,1.329243354,8.1799591,1,1.54702937,6.511557079,8.058586449,6.952413255,40.709278,-74.002562
150,8250,26.90909091,16.36363636,10.54545455,13.12347401,7.281130101,5.842343913,1,4.713953453,3.344338299,8.058291752,6.952202033,47.678255,-122.338152
151,2930,31.74061433,19.79522184,11.94539249,16.17100372,13.28996283,2.881040892,0,6.896807465,2.792537038,9.689344503,6.944778552,42.399655,-71.12255
152,7150,13.98601399,3.776223776,10.20979021,14.98087264,3.771969717,11.20890292,2,1.64521432,4.71747107,6.36268539,6.913357107,40.712597,-73.953098
153,3940,28.68020305,7.360406091,21.31979695,17.93560036,6.018657839,11.91694252,0,2.851433637,6.789363673,9.64079731,6.909982647,34.1692,-118.372498
154,2520,39.68253968,7.936507937,31.74603175,10.90617482,2.886928629,8.019246191,0,2.11457305,7.518059169,9.632632219,6.904130368,40.725581,-73.998078
155,2470,34.41295547,18.21862348,16.19433198,14.21232877,2.226027397,11.98630137,0,3.681350056,5.939044978,9.620395034,6.89535944,37.865183,-122.238209
156,5040,32.73809524,11.70634921,21.03174603,15.22442218,2.91867161,12.30575057,0,2.762045074,6.844143014,9.606188088,6.885176699,33.82774,-118.17482
157,5200,32.88461538,24.42307692,8.461538462,15.12845761,11.63727509,3.491182526,0,7.240867356,2.364585147,9.605452503,6.884649473,33.771947,-84.29027
158,6350,38.11023622,12.44094488,25.66929134,11.69422674,4.431496451,7.262730294,0,3.289687306,6.286421559,9.576108865,6.863617599,38.952514,-77.022991
159,2340,23.07692308,12.39316239,10.68376068,20.99951164,8.46491942,12.53459222,0,4.356376444,5.151069461,9.507445905,6.814403841,41.092068,-73.924648
160,9760,26.12704918,6.147540984,19.9795082,19.04097646,2.336530078,16.70444638,0,1.664666092,7.837904684,9.502570777,6.810909623,40.798452,-73.974428
161,5030,36.18290258,10.73558648,25.4473161,12.63305021,5.537039028,7.096011182,0,3.295212168,6.204369523,9.49958169,6.808767213,34.07041,-118.350411
162,1860,36.55913978,13.97849462,22.58064516,12.37031125,6.251662676,6.118648577,0,4.035333094,5.458011127,9.493344222,6.804296546,38.938188,-76.992126
163,3650,24.93150685,8.767123288,16.16438356,19.69973787,7.228532846,12.47120502,0,3.412277768,6.06318108,9.475458848,6.791477314,39.730282,-104.952592
164,5170,37.33075435,17.98839458,19.34235977,11.78407417,6.151979898,5.632094273,0,4.688475581,4.77944756,9.467923141,6.786076142,47.574245,-122.400222
165,4820,28.42323651,8.713692946,19.70954357,17.34629643,7.763866545,9.58242988,0,3.545871652,5.894335937,9.440207589,6.766211189,34.140822,-118.392864
166,11670,33.33333333,9.768637532,23.5646958,14.12923417,3.221649485,10.90758468,0,2.514324603,6.900924951,9.415249555,6.74832267,40.798601,-73.966622
167,1980,30.80808081,13.63636364,17.17171717,15.6114484,0.0,15.6114484,0,2.311455361,7.070713402,9.382168763,6.724612214,38.976873,-77.032609
168,1950,24.61538462,21.02564103,3.58974359,19.49561796,16.09729923,3.398318727,0,7.853444377,1.514037675,9.367482052,6.714085604,45.576236,-122.600873
169,4000,23.5,15.0,8.5,20.03439381,8.684436801,11.34995701,0,4.85674788,4.465236895,9.321984775,6.681475708,45.603549,-122.737905
170,1520,2.631578947,0.0,0.0,34.94623656,12.54480287,22.40143369,0,3.342820999,5.969323213,9.312144213,6.674422545,40.288811,-75.058039
171,3830,28.45953003,16.18798956,12.27154047,16.59854867,6.589373592,10.00917508,0,4.499847375,4.747259424,9.247106799,6.627807376,30.304274,-97.685715
172,650,27.69230769,23.07692308,4.615384615,16.87289089,16.87289089,0.0,0,8.407822848,0.782338737,9.190161585,6.586992241,38.934557,-76.950596
